Id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1,Mohamed Salah,eg EGY,FW,Liverpool,Premier League,32.0,1992,38,38,3371,37.5,29,18,47
2,Harry Kane,eng ENG,FW,Bayern Munich,Bundesliga,31.0,1993,31,28,2381,26.5,26,9,35
3,Kylian Mbappé,fr FRA,FW,Real Madrid,La Liga,25.0,1998,34,34,2907,32.3,31,3,34
4,Mateo Retegui,it ITA,FW,Atalanta,Serie A,25.0,1999,36,32,2383,26.5,25,8,33
5,Alexander Isak,se SWE,FW,Newcastle Utd,Premier League,24.0,1999,34,34,2756,30.6,23,6,29
6,Robert Lewandowski,pl POL,FW,Barcelona,La Liga,35.0,1988,34,32,2667,29.6,27,2,29
7,Ousmane Dembélé,fr FRA,FW,Paris S-G,Ligue 1,27.0,1997,29,20,1730,19.2,21,6,27
8,Bryan Mbeumo,cm CMR,FW,Brentford,Premier League,24.0,1999,38,38,3414,37.9,20,7,27
9,Michael Olise,fr FRA,"FW,MF",Bayern Munich,Bundesliga,22.0,2001,34,28,2334,25.9,12,15,27
10,Raphinha,br BRA,"FW,MF",Barcelona,La Liga,27.0,1996,36,32,2839,31.5,18,9,27
11,Mason Greenwood,eng ENG,"FW,MF",Marseille,Ligue 1,22.0,2001,34,32,2804,31.2,21,5,26
12,Ante Budimir,hr CRO,FW,Osasuna,La Liga,33.0,1991,38,34,2952,32.8,21,4,25
13,Serhou Guirassy,gn GUI,FW,Dortmund,Bundesliga,28.0,1996,30,29,2598,28.9,21,4,25
14,Erling Haaland,no NOR,FW,Manchester City,Premier League,24.0,2000,31,31,2736,30.4,22,3,25
15,Bradley Barcola,fr FRA,FW,Paris S-G,Ligue 1,21.0,2002,34,27,2181,24.2,14,10,24
16,Romelu Lukaku,be BEL,FW,Napoli,Serie A,31.0,1993,36,35,2843,31.6,14,10,24
17,Omar Marmoush,eg EGY,FW,Eint Frankfurt,Bundesliga,25.0,1999,17,17,1448,16.1,15,9,24
18,Ollie Watkins,eng ENG,FW,Aston Villa,Premier League,28.0,1995,38,31,2598,28.9,16,8,24
19,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,Bundesliga,22.0,2002,33,31,2563,28.5,15,8,23
20,Tim Kleindienst,de GER,FW,Gladbach,Bundesliga,28.0,1995,31,31,2737,30.4,16,7,23
21,Cole Palmer,eng ENG,"MF,FW",Chelsea,Premier League,22.0,2002,37,36,3191,35.5,15,8,23
22,Yoane Wissa,cd COD,FW,Brentford,Premier League,27.0,1996,35,34,2919,32.4,19,4,23
23,Chris Wood,nz NZL,FW,Nott'ham Forest,Premier League,32.0,1991,36,35,2959,32.9,20,3,23
24,Alexander Sørloth,no NOR,FW,Atlético Madrid,La Liga,28.0,1995,35,15,1566,17.4,20,2,22
25,Florian Wirtz,de GER,"MF,FW",Leverkusen,Bundesliga,21.0,2003,31,25,2351,26.1,10,12,22
26,Lamine Yamal,es ESP,FW,Barcelona,La Liga,17.0,2007,35,31,2856,31.7,9,13,22
